Nº;Fecha;Curso;Tipo;Subtipo;Días;Horas totales;Hora inicio;Zona;Instalación;Monitor/a;Precio socio €;Precio no socio €;Plazas totales;Plazas libres;Alistados totales;Alistados socios;Alistados no socios;% Ocupación;Temporada;Día semana;Franja
11;2016-05-05;Curso Preparación Maratón Patinaje Madrid;Otros;Curso Preparación Maratón Patinaje Madrid;;;19:15;Vicálvaro;Calle Dehesa Vieja;Lucia;35,0;40,0;16;10;6;3;3;37,5;2015-16;Jueves;Tarde
12;2023-06-18;Curso Tecnificación Tiros Hockey;Hockey;Tecnificación tiros;1;2.0;16:00;Alcobendas;Pista 4 - P.M. José Caballero;Javi;20,0;25,0;16;11;5;5;0;31,2;2022-23;Domingo;Tarde
13;2023-07-01;Curso Refuerzo Patinaje Niños 5-7;Niños Disciplinas;Refuerzo;2;2.0;11:10;Retiro;Paseo De Coches;Juan Carlos;15,0;20,0;12;11;1;0;1;8,3;2022-23;Sábado;Mañana
14;2023-07-01;Curso Refuerzo Patinaje Niños 8-11;Niños Disciplinas;Refuerzo;2;2.0;10:00;Retiro;Paseo De Coches;Juan Carlos;15,0;20,0;12;11;1;0;1;8,3;2022-23;Sábado;Mañana
15;2023-07-14;Curso Rollerdance Medio;Rollerdance;Medio;1;2.0;19:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Javi;15,0;25,0;16;12;4;4;0;25,0;2022-23;Viernes;Tarde
16;2023-07-22;Curso Urbano Patinaje Avanzado;Urbano;Avanzado;1;2.0;10:00;Ventas;Alrededores Plaza De Toros;Javi;15,0;25,0;10;5;5;4;1;50,0;2022-23;Sábado;Mañana
17;2023-07-22;Curso Iniciación Skatepark;Otros;Curso Iniciación Skatepark;1;2.0;08:30;Ventas;Alrededores Plaza De Toros;Javi;15,0;25,0;10;7;3;3;0;30,0;2022-23;Sábado;Mañana
18;2023-09-06;Curso Iniciación Hockey Niños;Niños Disciplinas;Hockey;3;3.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Javi;20,0;30,0;14;14;0;0;0;0,0;2023-24;Miércoles;Tarde
19;2023-09-08;Curso Urbano Patinaje Medio;Urbano;Medio;1;2.0;19:30;San Sebastián de los Reyes;Parque De La Marina;Irene;15,0;25,0;10;10;0;0;0;0,0;2023-24;Viernes;Tarde
20;2023-09-10;Curso Patinaje Urbano Niños;Niños Disciplinas;Urbano;1;1.0;10:00;San Sebastián de los Reyes;Parque De La Marina;Irene;10,0;15,0;10;9;1;0;1;10,0;2023-24;Domingo;Mañana
21;2023-09-17;Curso Freestyle Slalom Niños;Niños Disciplinas;Slalom;1;1.0;11:40;Retiro;Paseo De Coches;Marta Águila;10,0;15,0;12;12;0;0;0;0,0;2023-24;Domingo;Mañana
22;2023-09-18;Curso Patinaje Velocidad Niños;Niños Disciplinas;Velocidad;3;3.0;18:30;Juan Carlos I;Parking Auditorium;David Rivas;20,0;30,0;12;12;0;0;0;0,0;2023-24;Lunes;Tarde
23;2023-12-02;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;11:00;San Sebastián de los Reyes;Parque De La Marina;Irene;22,0;28,0;10;10;0;0;0;0,0;2023-24;Sábado;Mañana
24;2024-01-08;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:30;Retiro;Paseo De Coches;Elena;42,0;42,0;12;12;0;0;0;0,0;2023-24;Lunes;Tarde
25;2024-01-08;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;18:00;Retiro;Paseo De Coches;Elena;42,0;42,0;10;10;0;0;0;0,0;2023-24;Lunes;Tarde
26;2024-01-08;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Daniel;32,0;32,0;12;12;0;0;0;0,0;2023-24;Lunes;Tarde
27;2024-01-08;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene;42,0;42,0;10;6;4;0;4;40,0;2023-24;Lunes;Tarde
28;2024-01-08;Curso Iniciación Patinaje Velocidad;Velocidad;Iniciación;3;3.0;19:00;Metropolitano;Parking Exterior;DavidR;28,0;34,0;12;11;1;1;0;8,3;2023-24;Lunes;Tarde
29;2024-01-10;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;42,0;42,0;10;5;5;0;5;50,0;2023-24;Miércoles;Tarde
30;2024-01-10;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;3.0;19:00;Retiro;Curva Rosaleda;Marta Águila;28,0;34,0;12;11;1;0;1;8,3;2023-24;Miércoles;Tarde
31;2024-01-13;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:00;Retiro;Paseo De Coches;DavidR13-DavidG2;32,0;32,0;10;5;5;0;5;50,0;2023-24;Sábado;Mañana
32;2024-01-13;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:30;Retiro;Paseo De Coches;DavidR13-DavidG2;42,0;42,0;10;4;6;0;6;60,0;2023-24;Sábado;Mañana
33;2024-01-13;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;12:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Elena;32,0;32,0;12;9;3;0;3;25,0;2023-24;Sábado;Mañana
34;2024-01-13;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;11:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Elena;34,0;44,0;16;16;0;0;0;0,0;2023-24;Sábado;Mañana
35;2024-01-13;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;11:00;San Sebastián de los Reyes;Parque De La Marina;Irene;22,0;28,0;10;4;6;6;0;60,0;2023-24;Sábado;Mañana
36;2024-01-14;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;13:10;Retiro;Paseo De Coches;David Gamito;32,0;32,0;12;0;12;0;12;100,0;2023-24;Domingo;Mañana
37;2024-01-14;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:40;Retiro;Paseo De Coches;David Gamito;42,0;42,0;12;5;7;0;7;58,3;2023-24;Domingo;Mañana
38;2024-01-20;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;11:00;Retiro;Paseo De Coches;Marta Aguila;22,0;28,0;10;7;3;3;0;30,0;2023-24;Sábado;Mañana
39;2024-01-21;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene1-DavidR23;32,0;32,0;10;0;10;0;10;100,0;2023-24;Domingo;Mañana
40;2024-01-28;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;10:50;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Rivas;32,0;32,0;10;9;1;0;1;10,0;2023-24;Domingo;Mañana
41;2024-02-01;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;18:40;Madrid Río;Explanada Matadero;Yskander;42,0;42,0;12;8;4;0;4;33,3;2023-24;Jueves;Tarde
42;2024-02-03;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;12:00;Retiro;Paseo De Coches;David Rivas;32,0;32,0;12;8;4;0;4;33,3;2023-24;Sábado;Mañana
43;2024-02-03;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:30;Retiro;Paseo De Coches;David Rivas;42,0;42,0;12;6;6;0;6;50,0;2023-24;Sábado;Mañana
44;2024-02-03;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;32,0;32,0;10;4;6;0;6;60,0;2023-24;Sábado;Mañana
45;2024-02-04;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;13:10;Retiro;Paseo De Coches;David Gamito;32,0;32,0;10;0;10;0;10;100,0;2023-24;Domingo;Mañana
46;2024-02-04;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:40;Retiro;Paseo De Coches;David Gamito;42,0;42,0;10;6;4;0;4;40,0;2023-24;Domingo;Mañana
47;2024-02-04;Curso Urbano Patinaje Medio;Urbano;Medio;1;2.0;10:30;Ventas;Alrededores Plaza De Toros;Iciar;22,0;28,0;10;6;4;4;0;40,0;2023-24;Domingo;Mañana
48;2024-02-05;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene;42,0;42,0;10;7;3;0;3;30,0;2023-24;Lunes;Tarde
49;2024-02-06;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:20;Madrid Río;Explanada Matadero;Yskander;42,0;42,0;8;2;6;0;6;75,0;2023-24;Martes;Tarde
50;2024-02-06;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:00;Madrid Río;Explanada Matadero;Yskander;32,0;32,0;10;1;9;0;9;90,0;2023-24;Martes;Tarde
51;2024-02-07;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;42,0;42,0;12;11;1;0;1;8,3;2023-24;Miércoles;Tarde
52;2024-02-07;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;32,0;32,0;10;3;7;0;7;70,0;2023-24;Miércoles;Tarde
53;2024-02-09;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;18:40;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene;34,0;44,0;16;15;1;1;0;6,2;2023-24;Viernes;Tarde
54;2024-02-10;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;10:50;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;32,0;32,0;10;7;3;1;2;30,0;2023-24;Sábado;Mañana
55;2024-02-11;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;12:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Rivas13-Irene2;32,0;32,0;12;1;11;0;11;91,7;2023-24;Domingo;Mañana
56;2024-02-11;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Elena;22,0;28,0;16;12;4;2;2;25,0;2023-24;Domingo;Tarde
57;2024-02-18;Curso Patinaje en Cuestas Avanzado;Cuestas;Avanzado;2;3.0;11:00;Juan Carlos I;Parking Auditorium;Iciar;28,0;34,0;10;5;5;3;2;50,0;2023-24;Domingo;Mañana
58;2024-02-18;Curso Patinaje en Cuestas Medio;Cuestas;Medio;2;3.0;10:30;Juan Carlos I;Parking Auditorium;Iciar;28,0;34,0;10;8;2;1;1;20,0;2023-24;Domingo;Mañana
59;2024-02-18;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;2;3.0;10:50;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene2-David Rivas3;32,0;32,0;10;9;1;0;1;10,0;2023-24;Domingo;Mañana
60;2024-02-18;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;2;3.0;10:50;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene2-David Rivas3;32,0;32,0;12;11;1;0;1;8,3;2023-24;Domingo;Mañana
61;2024-03-01;Curso Patinaje en Cuestas Básico;Cuestas;Básico;2;3.0;18:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene;28,0;34,0;10;7;3;3;0;30,0;2023-24;Viernes;Tarde
62;2024-03-02;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo13-Irene2;42,0;42,0;12;7;5;2;3;41,7;2023-24;Sábado;Mañana
63;2024-03-03;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;13:10;Retiro;Paseo De Coches;David Gamito;32,0;32,0;12;7;5;0;5;41,7;2023-24;Domingo;Mañana
64;2024-03-03;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Rivas;32,0;32,0;10;2;8;0;8;80,0;2023-24;Domingo;Mañana
65;2024-03-03;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Rivas;42,0;42,0;10;5;5;0;5;50,0;2023-24;Domingo;Mañana
66;2024-03-03;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Elena;22,0;28,0;16;10;6;5;1;37,5;2023-24;Domingo;Tarde
67;2024-03-04;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;20:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene;42,0;42,0;12;9;3;0;3;25,0;2023-24;Lunes;Tarde
68;2024-03-04;Curso Iniciación Patinaje Velocidad;Velocidad;Iniciación;3;3.0;19:00;Metropolitano;Parking Exterior;David Rivas;28,0;34,0;12;12;0;0;0;0,0;2023-24;Lunes;Tarde
69;2024-03-05;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:20;Madrid Río;Explanada Matadero;Yskander;42,0;42,0;12;4;8;0;8;66,7;2023-24;Martes;Tarde
70;2024-03-05;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;18:00;Madrid Río;Explanada Matadero;Yskander;32,0;32,0;12;11;1;0;1;8,3;2023-24;Martes;Tarde
71;2024-03-06;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Paseo De Coches;Juan Carlos;42,0;42,0;10;6;4;0;4;40,0;2023-24;Miércoles;Tarde
72;2024-03-06;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;32,0;32,0;12;8;4;0;4;33,3;2023-24;Miércoles;Tarde
73;2024-03-06;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;3.0;19:00;Retiro;Curva Rosaleda;Marta Águila;28,0;34,0;12;10;2;2;0;16,7;2023-24;Miércoles;Tarde
74;2024-03-07;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;18:45;Madrid Río;Explanada Matadero;Yskander;42,0;42,0;8;7;1;0;1;12,5;2023-24;Jueves;Tarde
75;2024-03-07;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;17:40;Madrid Río;Explanada Matadero;Yskander;32,0;32,0;10;8;2;0;2;20,0;2023-24;Jueves;Tarde
76;2024-03-07;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:00;Barajas;Recinto Ferial;Paloma;42,0;42,0;10;8;2;0;2;20,0;2023-24;Jueves;Tarde
77;2024-03-09;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:30;Nuevos Ministerios;Azca;Marta Aguila;22,0;28,0;10;6;4;4;0;40,0;2023-24;Sábado;Mañana
78;2024-03-10;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:40;Retiro;Paseo De Coches;David Gamito;42,0;42,0;12;9;3;0;3;25,0;2023-24;Domingo;Mañana
79;2024-03-11;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Daniel;32,0;32,0;10;7;3;0;3;30,0;2023-24;Lunes;Tarde
80;2024-03-16;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:00;Retiro;Paseo De Coches;David Rivas;32,0;32,0;10;5;5;0;5;50,0;2023-24;Sábado;Mañana
81;2024-03-16;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:30;Retiro;Paseo De Coches;David Rivas;42,0;42,0;10;2;8;0;8;80,0;2023-24;Sábado;Mañana
82;2024-03-16;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;12:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;32,0;32,0;12;5;7;0;7;58,3;2023-24;Sábado;Mañana
83;2024-04-03;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:30;Retiro;Paseo De Coches;Juan Carlos;42,0;42,0;12;4;8;0;8;66,7;2023-24;Miércoles;Tarde
84;2024-04-03;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;42,0;42,0;10;10;0;0;0;0,0;2023-24;Miércoles;Tarde
85;2024-04-03;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;32,0;32,0;10;4;6;0;6;60,0;2023-24;Miércoles;Tarde
86;2024-04-04;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;18:40;Madrid Río;Explanada Matadero;Yskander;42,0;42,0;8;4;4;0;4;50,0;2023-24;Jueves;Tarde
87;2024-04-04;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:00;Barajas;Recinto Ferial;Paloma12-¿?3;42,0;42,0;10;6;4;0;4;40,0;2023-24;Jueves;Tarde
88;2024-04-06;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;12:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;32,0;32,0;10;0;10;0;10;100,0;2023-24;Sábado;Mañana
89;2024-04-06;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Olmo;42,0;42,0;10;3;7;0;7;70,0;2023-24;Sábado;Mañana
90;2024-04-07;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;13:10;Retiro;Paseo De Coches;David Gamito;32,0;32,0;10;4;6;0;6;60,0;2023-24;Domingo;Mañana
91;2024-04-07;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;10:40;Retiro;Paseo De Coches;David Gamito;42,0;42,0;10;3;7;0;7;70,0;2023-24;Domingo;Mañana
92;2024-04-07;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;12:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Rivas;32,0;32,0;12;1;11;0;11;91,7;2023-24;Domingo;Mañana
93;2024-04-07;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:30;San Sebastián de los Reyes;Pista Patinaje Dehesa;David Rivas;42,0;42,0;12;7;5;0;5;41,7;2023-24;Domingo;Mañana
94;2024-04-09;Curso Iniciación Patinaje Nivel 2;Iniciación Adultos Nivel 2;;3;4.0;19:20;Madrid Río;Explanada Matadero;Yskander;42,0;42,0;10;7;3;1;2;30,0;2023-24;Martes;Tarde
95;2024-04-09;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:10;Madrid Río;Explanada Matadero;Yskander;32,0;32,0;10;8;2;0;2;20,0;2023-24;Martes;Tarde
96;2024-04-09;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;17:30;Barajas;Recinto Ferial;Vanesa;32,0;32,0;10;9;1;0;1;10,0;2023-24;Martes;Tarde
97;2024-04-10;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Paseo De Coches;Guadalupe;42,0;42,0;10;5;5;0;5;50,0;2023-24;Miércoles;Tarde
98;2024-04-13;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;12:00;Retiro;Paseo De Coches;David Rivas;32,0;32,0;12;6;6;0;6;50,0;2023-24;Sábado;Mañana
99;2024-04-13;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;10:30;Retiro;Paseo De Coches;David Rivas;42,0;42,0;12;7;5;0;5;41,7;2023-24;Sábado;Mañana
100;2024-04-13;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:00;Nuevos Ministerios;Azca;Marta Aguila;22,0;28,0;10;4;6;6;0;60,0;2023-24;Sábado;Mañana
101;2024-04-14;Curso Urbano Patinaje Medio;Urbano;Medio;1;2.0;10:00;Nuevos Ministerios;Azca;Iciar;22,0;28,0;10;4;6;6;0;60,0;2023-24;Domingo;Mañana
102;2024-04-15;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;19:30;Retiro;Curva Rosaleda;Marta Águila;34,0;44,0;12;5;7;7;0;58,3;2023-24;Lunes;Tarde
103;2024-04-21;Curso Rollerdance Iniciación;Rollerdance;Iniciación;1;2.0;19:00;Retiro;Instalación Deportiva Retiro-Poeta;Elena;22,0;28,0;16;7;9;5;4;56,2;2023-24;Domingo;Tarde
104;2024-04-22;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Daniel13-Irene2;32,0;32,0;10;10;0;0;0;0,0;2023-24;Lunes;Tarde
105;2024-04-22;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Daniel13-Irene2;32,0;32,0;12;11;1;0;1;8,3;2023-24;Lunes;Tarde
106;2024-04-27;Curso Urbano Patinaje Básico;Urbano;Básico;1;2.0;10:30;San Sebastián de los Reyes;Parque De La Marina;Irene;22,0;28,0;10;9;1;1;0;10,0;2023-24;Sábado;Mañana
107;2024-05-06;Curso Slalom Iniciación Nivel 2;Freestyle Slalom;Iniciación;3;4.0;19:30;Retiro;Paseo De Coches;Iciar;34,0;44,0;12;12;0;0;0;0,0;2023-24;Lunes;Tarde
108;2024-05-06;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;19:30;Retiro;Curva Rosaleda;Marta Águila;34,0;44,0;12;6;6;5;1;50,0;2023-24;Lunes;Tarde
109;2024-05-07;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:20;Madrid Río;Explanada Matadero;Yskander;42,0;42,0;8;5;3;0;3;37,5;2023-24;Martes;Tarde
110;2024-05-07;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:10;Madrid Río;Explanada Matadero;Yskander;32,0;32,0;10;3;7;0;7;70,0;2023-24;Martes;Tarde
111;2024-05-07;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;17:45;Barajas;Recinto Ferial;Vanesa;32,0;32,0;10;6;4;0;4;40,0;2023-24;Martes;Tarde
112;2024-05-08;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:10;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;42,0;42,0;10;4;6;0;6;60,0;2023-24;Miércoles;Tarde
113;2024-05-08;Curso Patinaje Básico Niños;Niños Básico 1;;3;3.0;18:00;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;32,0;32,0;12;6;6;0;6;50,0;2023-24;Miércoles;Tarde
114;2024-05-08;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;19:30;Retiro;Curva Rosaleda;Guadalupe;42,0;42,0;10;9;1;0;1;10,0;2023-24;Miércoles;Tarde
115;2024-05-08;Curso Iniciación Patinaje Nivel 2;Iniciación Adultos Nivel 2;;3;4.0;19:30;Retiro;Curva Rosaleda;Juan Carlos;42,0;42,0;10;8;2;1;1;20,0;2023-24;Miércoles;Tarde
116;2024-05-08;Curso Iniciación Patinaje Velocidad;Velocidad;Iniciación;3;4.0;19:30;Metropolitano;Parking Exterior;David Rivas;34,0;44,0;12;4;8;8;0;66,7;2023-24;Miércoles;Tarde
117;2024-05-09;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;18:40;Madrid Río;Explanada Matadero;Yskander;42,0;42,0;12;10;2;0;2;16,7;2023-24;Jueves;Tarde
118;2024-05-09;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;19:30;Retiro;Curva Rosaleda;Irene Díaz;42,0;42,0;8;4;4;0;4;50,0;2023-24;Jueves;Tarde
119;2024-05-09;Curso Iniciación Patinaje Nivel 1;Iniciación Adultos Nivel 1;;3;4.0;20:10;Barajas;Recinto Ferial;Paloma;42,0;42,0;12;12;0;0;0;0,0;2023-24;Jueves;Tarde
120;2024-05-09;Curso Iniciación Patinaje Nivel 0;Iniciación Adultos Nivel 0;;3;4.0;20:10;Barajas;Recinto Ferial;Vanesa;42,0;42,0;10;6;4;0;4;40,0;2023-24;Jueves;Tarde
121;2024-05-10;Curso Iniciación Freestyle Slalom;Freestyle Slalom;Iniciación;3;4.0;18:40;San Sebastián de los Reyes;Pista Patinaje Dehesa;Irene Rodriguez;34,0;44,0;16;12;4;3;1;25,0;2023-24;Viernes;Tarde
122;2024-05-10;Curso Iniciación Patinaje Niños;Niños Iniciación;;3;3.0;18:40;San Sebastián de los Reyes;Pista Patinaje Dehesa;Paloma;32,0;32,0;10;1;9;0;9;90,0;2023-24;Viernes;Tarde
